Num,QueryGeneID,QueryLength,SpeciesWithGeneFunction,BS_of_orthogroupBasalNode,2ndGeneTree,BHnum_Drosophila-melanogaster,BHnum_Ciona-intestinalis,BHnum_Xenopus-tropicalis,BHnum_Gallus-gallus,BHnum_Homo-sapiens,BHnum_Danio-rerio,BHnum_Tetraodon-nigroviridis,BHnum_Gasterosteus-aculeatus,BHnum_Oryzias-latipes,OGnum_Xenopus-tropicalis,OGnum_Gallus-gallus,OGnum_Homo-sapiens,OGnum_Danio-rerio,OGnum_Oryzias-latipes,OGnum_Tetraodon-nigroviridis,OGnum_Gasterosteus-aculeatus,BS_of_BonyVertebrates_monophyly,dupStatus_BonyVertebrates,BS_of_Teleostei_monophyly,dupStatus_Teleostei,BS_of_Percomorpha_monophyly,dupStatus_Percomorpha,BS_of_Oryzias-latipes_monophyly,dupStatus_Oryzias-latipes,Sister_of_BonyVertebrates,BS_with_BonyVertebrates,Sister_of_Teleostei,BS_with_Teleostei,Sister_of_Percomorpha,BS_with_Percomorpha,Sister_of_Oryzias-latipes,BS_with_Oryzias-latipes
1,ENSORLT00000003136.1,1008,Homo-sapiens_ENST00000539945.7_MDH1-malate-dehydrogena ,94,DONE,2,3,3,3,5,5,5,5,5,1,1,1,2,2,2,2,100,D=N,92,D=Y,100,D=N,leaf,leaf,NoGeneNode,NONE,Tetrapoda,100,Danio-rerio,98,Eupercaria,100
2,ENSORLT00000011078.1,1788,Homo-sapiens_ENST00000413366.8_PRKCA-protein-kinase-C- ,90,DONE,10,10,10,10,10,10,10,10,10,1,1,1,2,2,2,2,100,D=N,78,D=Y,99,D=N,leaf,leaf,NoGeneNode,NONE,Tetrapoda,100,Danio-rerio,100,Eupercaria,99
3,ENSORLT00000008917.1,1203,Homo-sapiens_ENST00000217901.10_IDH3G-isocitrate-dehyd ,100,DONE,6,3,3,2,3,3,3,5,4,1,0,1,1,2,1,2,100,D=N,87,D=N,r,D=Y,leaf,leaf,NoGeneNode,NONE,Tetrapoda,100,Danio-rerio,87,Tetraodon-nigroviridis,80
4,ENSORLT00000020891.1,1176,Homo-sapiens_ENST00000217901.10_IDH3G-isocitrate-dehyd ,100,DONE,6,3,3,2,3,3,3,5,4,1,0,1,1,2,1,2,100,D=N,82,D=Y,99,D=N,leaf,leaf,NoGeneNode,NONE,Tetrapoda,100,Teleostei(Eupercaria;Oryzias-latipes;Danio-rerio),82,Gasterosteus-aculeatus,99
5,ENSORLT00000017803.1,2895,Homo-sapiens_ENST00000371546.8_GRIN1-glutamate-ionotro ,72,DONE,10,8,10,10,10,10,10,10,10,1,1,1,2,2,1,1,100,D=Y,NoGeneNode,NONE,NoGeneNode,NONE,leaf,leaf,NoGeneNode,NONE,NoGeneNode,NONE,NoGeneNode,NONE,BonyVertebrates(Teleostei;Tetrapoda;Gasterosteus-aculeatus;Danio-rerio),100
6,ENSORLT00000003633.1,1179,Homo-sapiens_ENST00000539945.7_MDH1-malate-dehydrogena ,96,DONE,1,3,3,2,3,3,5,4,3,1,1,1,2,2,2,2,100,D=N,90,D=Y,99,D=Y,leaf,leaf,NoGeneNode,NONE,Tetrapoda,100,Danio-rerio,r,Gasterosteus-aculeatus,82
7,ENSORLT00000015782.1,1362,Homo-sapiens_ENST00000330062.8_IDH2-isocitrate-dehydro ,87,DONE,3,3,3,3,3,3,4,4,4,1,1,1,1,2,2,2,100,D=N,73,D=Y,100,D=Y,leaf,leaf,NoGeneNode,NONE,Tetrapoda,100,Teleostei(Eupercaria;Oryzias-latipes;Danio-rerio),73,Gasterosteus-aculeatus,75
8,ENSORLT00000015930.1,4107,Homo-sapiens_ENST00000396573.6_GRIN2A-glutamate-ionotr ,100,DONE,10,8,10,10,10,10,10,10,10,1,1,1,2,2,2,1,100,D=Y,100,D=N,100,D=N,leaf,leaf,Teleostei,100,Tetrapoda,95,Danio-rerio,100,Tetraodon-nigroviridis,100
9,ENSORLT00000015947.1,8319,Homo-sapiens_ENST00000649015.2_ITPR1-inositol-1-4-5-tr ,100,DONE,2,4,5,4,6,10,10,10,10,1,1,1,2,2,2,2,100,D=N,97,D=Y,100,D=Y,leaf,leaf,NoGeneNode,NONE,Tetrapoda,100,Danio-rerio,100,Gasterosteus-aculeatus,70
10,ENSORLT00000018256.1,8145,Homo-sapiens_ENST00000649015.2_ITPR1-inositol-1-4-5-tr ,100,DONE,2,3,5,4,7,9,10,10,10,1,1,1,2,2,2,2,100,D=N,96,D=Y,100,D=N,leaf,leaf,NoGeneNode,NONE,Tetrapoda,100,Danio-rerio,84,Eupercaria,100
11,ENSORLT00000020175.1,1515,Homo-sapiens_ENST00000397775.7_PPP3CC-protein-phosphat ,93,DONE,10,10,10,10,10,10,10,10,10,1,1,1,2,1,2,2,100,D=N,100,D=Y,100,D=Y,leaf,leaf,NoGeneNode,NONE,Tetrapoda,100,Danio-rerio,100,Gasterosteus-aculeatus,76
12,ENSORLT00000010931.1,2001,Homo-sapiens_ENST00000643927.1_PRKCB-protein-kinase-C- ,99,DONE,10,10,10,10,10,10,10,10,10,1,1,1,2,1,2,2,100,D=N,88,D=Y,100,D=Y,leaf,leaf,NoGeneNode,NONE,Tetrapoda,100,Teleostei(Eupercaria;Danio-rerio),85,Tetraodon-nigroviridis,100
13,ENSORLT00000016470.1,1257,Homo-sapiens_ENST00000412477.7_ARRB2-arrestin-beta-2 ,99,DONE,5,1,4,2,5,7,7,8,6,1,0,1,2,1,2,2,100,D=N,r,D=Y,100,D=N,leaf,leaf,NoGeneNode,NONE,Tetrapoda,100,Danio-rerio,83,Eupercaria,100
14,ENSORLT00000023505.1,2565,Homo-sapiens_ENST00000282753.6_GRM1-glutamate-metabotr ,100,DONE,10,6,10,10,10,10,10,10,10,1,1,1,2,2,2,2,100,D=N,99,D=Y,94,D=N,leaf,leaf,NoGeneNode,NONE,Tetrapoda,100,Danio-rerio,100,Eupercaria,94
15,ENSORLT00000010435.1,6894,Homo-sapiens_ENST00000262367.10_CREBBP-CREB-binding-pr ,100,DONE,10,10,10,10,10,10,10,10,10,1,1,1,2,1,2,2,100,D=N,100,D=Y,100,D=N,leaf,leaf,NoGeneNode,NONE,Tetrapoda,100,Danio-rerio,100,Eupercaria,100
16,ENSORLT00000013395.1,1941,Homo-sapiens_ENST00000423381.5_CAMK2G-calcium-calmodul ,100,DONE,10,10,10,10,10,10,10,10,10,1,1,1,2,2,1,2,100,D=N,97,D=N,r,D=Y,leaf,leaf,NoGeneNode,NONE,Tetrapoda,100,Danio-rerio,97,Gasterosteus-aculeatus,100
17,ENSORLT00000008754.1,3510,,99,DONE,10,10,10,10,10,10,10,10,10,1,0,0,2,2,2,2,100,D=N,100,D=Y,100,D=Y,leaf,leaf,NoGeneNode,NONE,Xenopus-tropicalis,100,Danio-rerio,71,Tetraodon-nigroviridis,74
18,ENSORLT00000019724.1,1842,Homo-sapiens_ENST00000272602.7_CNGA3-cyclic-nucleotide ,96,DONE,10,10,10,10,10,10,10,10,10,1,1,1,2,2,3,1,100,D=N,100,D=Y,100,D=N,leaf,leaf,NoGeneNode,NONE,Tetrapoda,100,Danio-rerio,98,Eupercaria,100
19,ENSORLT00000025598.1,1545,Homo-sapiens_ENST00000272602.7_CNGA3-cyclic-nucleotide ,93,DONE,10,10,10,10,10,10,10,10,10,1,1,1,2,2,3,1,100,D=N,100,D=Y,100,D=N,leaf,leaf,NoGeneNode,NONE,Tetrapoda,100,Teleostei(Percomorpha;Danio-rerio),100,Tetraodon-nigroviridis,100
20,ENSORLT00000001077.1,2544,Homo-sapiens_ENST00000293190.10_GRIN2C-glutamate-ionot ,98,DONE,10,7,10,10,10,10,10,10,10,1,1,1,2,2,2,2,100,D=N,100,D=Y,100,D=Y,leaf,leaf,NoGeneNode,NONE,Tetrapoda,100,Danio-rerio,100,Gasterosteus-aculeatus,89
21,ENSORLT00000013760.1,2526,Homo-sapiens_ENST00000293190.10_GRIN2C-glutamate-ionot ,100,DONE,10,6,10,10,10,10,10,10,10,1,1,1,2,2,2,2,100,D=N,100,D=Y,100,D=N,leaf,leaf,NoGeneNode,NONE,Tetrapoda,100,Teleostei(Percomorpha;Danio-rerio),100,Eupercaria,100
22,ENSORLT00000013837.3,6687,Homo-sapiens_ENST00000638029.1_CACNA1A-calcium-voltage ,92,DONE,8,10,10,10,10,10,10,10,10,1,0,1,2,1,2,1,100,D=N,100,D=Y,100,D=N,leaf,leaf,NoGeneNode,NONE,Tetrapoda,100,Danio-rerio,100,Eupercaria,100
23,ENSORLT00000011834.1,729,Homo-sapiens_ENST00000391997.3_PDC-phosducin ,99,DONE,2,3,3,5,4,4,3,4,4,1,1,1,2,2,1,2,100,D=N,100,D=Y,100,D=Y,leaf,leaf,NoGeneNode,NONE,Tetrapoda,100,Danio-rerio,83,Tetraodon-nigroviridis,76
24,ENSORLT00000015501.1,3576,Homo-sapiens_ENST00000307885.4_ADCY6-adenylate-cyclase ,95,DONE,10,10,10,10,10,10,10,10,10,1,1,1,2,2,2,2,100,D=Y,100,D=Y,100,D=N,leaf,leaf,Amniota,100,Xenopus-tropicalis,100,Danio-rerio,100,Eupercaria,100
25,ENSORLT00000005278.1,4767,Homo-sapiens_ENST00000609686.4_GRIN2B-glutamate-ionotr ,71,DONE,10,8,10,10,10,10,10,10,10,1,1,1,2,2,1,2,100,D=Y,100,D=N,100,D=N,leaf,leaf,Percomorpha,100,BonyVertebrates(Tetrapoda;Danio-rerio),100,Danio-rerio,100,Eupercaria,100
26,ENSORLT00000009670.1,2793,Homo-sapiens_ENST00000448073.8_GRIA1-glutamate-ionotro ,100,DONE,10,8,10,10,10,10,10,10,10,1,1,1,2,1,2,1,100,D=N,100,D=Y,100,D=Y,leaf,leaf,NoGeneNode,NONE,Tetrapoda,100,Danio-rerio,100,Gasterosteus-aculeatus,78
27,ENSORLT00000009862.1,3381,Homo-sapiens_ENST00000254854.5_GUCY2D-guanylate-cyclas ,r,DONE,10,10,10,10,10,10,10,10,10,1,0,1,1,1,2,2,100,D=N,100,D=Y,100,D=N,leaf,leaf,NoGeneNode,NONE,Tetrapoda,100,Danio-rerio,100,Eupercaria,100
28,ENSORLT00000017326.1,4179,Homo-sapiens_ENST00000371355.8_CACNA1B-calcium-voltage ,99,DONE,9,10,10,10,10,10,10,10,10,1,1,1,2,2,1,2,100,D=N,100,D=Y,83,D=Y,leaf,leaf,NoGeneNode,NONE,Tetrapoda,100,Teleostei(Eupercaria;Danio-rerio),100,Percomorpha(Oryzias-latipes;Gasterosteus-aculeatus),83
29,ENSORLT00000017423.1,780,Homo-sapiens_ENST00000391997.3_PDC-phosducin ,100,DONE,2,3,3,5,4,4,3,4,4,1,1,1,2,2,1,2,100,D=N,100,D=Y,100,D=N,leaf,leaf,NoGeneNode,NONE,Tetrapoda,100,Danio-rerio,r,Gasterosteus-aculeatus,100
30,ENSORLT00000017805.1,3624,Homo-sapiens_ENST00000282753.6_GRM1-glutamate-metabotr ,100,DONE,10,6,10,10,10,10,10,10,10,1,1,1,2,2,2,2,100,D=N,99,D=Y,100,D=Y,leaf,leaf,NoGeneNode,NONE,Tetrapoda,100,Danio-rerio,100,Gasterosteus-aculeatus,92
31,ENSORLT00000018671.1,4845,Homo-sapiens_ENST00000609686.4_GRIN2B-glutamate-ionotr ,100,DONE,10,8,10,10,10,10,10,10,10,1,1,1,2,2,2,2,100,D=N,100,D=Y,100,D=Y,leaf,leaf,NoGeneNode,NONE,Tetrapoda,100,Danio-rerio,91,Gasterosteus-aculeatus,94
32,ENSORLT00000022931.1,852,Homo-sapiens_ENST00000375499.8_SDHB-succinate-dehydrog ,100,DONE,2,1,1,1,1,2,2,2,2,1,1,1,2,2,2,2,100,D=N,80,D=Y,r,D=N,leaf,leaf,NoGeneNode,NONE,Tetrapoda,100,Danio-rerio,r,Eupercaria,r
33,ENSORLT00000000328.1,843,Homo-sapiens_ENST00000375499.8_SDHB-succinate-dehydrog ,99,DONE,2,1,1,1,1,2,2,2,2,1,1,1,2,2,2,2,100,D=N,82,D=Y,97,D=N,leaf,leaf,NoGeneNode,NONE,Tetrapoda,100,Danio-rerio,r,Eupercaria,97
34,ENSORLT00000003094.1,2769,,81,DONE,6,3,6,8,9,10,10,10,10,1,0,0,1,1,1,1,100,D=N,98,D=N,r,D=N,leaf,leaf,NoGeneNode,NONE,Xenopus-tropicalis,100,Danio-rerio,98,Eupercaria,r
35,ENSORLT00000013352.1,1125,Homo-sapiens_ENST00000674920.1_ATF4-activating-transcr ,100,DONE,2,1,7,5,8,8,9,8,9,1,1,1,2,2,2,2,100,D=N,74,D=Y,99,D=N,leaf,leaf,NoGeneNode,NONE,Tetrapoda,100,Danio-rerio,82,Eupercaria,99
